Intent,User_Input,Response,Entity,Category
Interaction_Check,Can I take Levothyroxine and Lithium together?,Levothyroxine and Lithium may have Moderate interaction.,Levothyroxine/Lithium,Drug
Drug_Dosage,Recommended dose of Ibuprofen?,Typical dose for Ibuprofen depends on individual condition. Consult doctor.,Ibuprofen,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Interaction_Check,Can I take Clopidogrel and Digoxin together?,Clopidogrel and Digoxin do not have significant interactions.,Clopidogrel/Digoxin,Drug
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Drug_Info,What is Prednisone used for?,Prednisone is used for treatment of its respective condition.,Prednisone,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Interaction_Check,Can I take Omeprazole and Lithium together?,Omeprazole and Lithium may have Minor interaction.,Omeprazole/Lithium,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Interaction_Check,Can I take Ibuprofen and Aspirin together?,Ibuprofen and Aspirin may have Minor interaction.,Ibuprofen/Aspirin,Drug
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Interaction_Check,Can I take Aspirin and Levothyroxine together?,Aspirin and Levothyroxine may have Major interaction.,Aspirin/Levothyroxine,Drug
Drug_Info,What is Aspirin used for?,Aspirin is used for treatment of its respective condition.,Aspirin,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Drug_Dosage,Recommended dose of Amiodarone?,Typical dose for Amiodarone depends on individual condition. Consult doctor.,Amiodarone,Drug
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Interaction_Check,Can I take Sildenafil and Metformin together?,Sildenafil and Metformin do not have significant interactions.,Sildenafil/Metformin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Interaction_Check,Can I take Levothyroxine and Warfarin together?,Levothyroxine and Warfarin do not have significant interactions.,Levothyroxine/Warfarin,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Interaction_Check,Can I take Aspirin and Digoxin together?,Aspirin and Digoxin do not have significant interactions.,Aspirin/Digoxin,Drug
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Side_Effect,What are side effects of Metformin?,Common side effects of Metformin include mild to moderate reactions.,Metformin,Drug
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Drug_Info,What is Prednisone used for?,Prednisone is used for treatment of its respective condition.,Prednisone,Drug
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Interaction_Check,Can I take Aspirin and Clopidogrel together?,Aspirin and Clopidogrel may have Minor interaction.,Aspirin/Clopidogrel,Drug
Interaction_Check,Can I take Ibuprofen and Levothyroxine together?,Ibuprofen and Levothyroxine do not have significant interactions.,Ibuprofen/Levothyroxine,Drug
Drug_Dosage,Recommended dose of Lisinopril?,Typical dose for Lisinopril depends on individual condition. Consult doctor.,Lisinopril,Drug
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Interaction_Check,Can I take Lisinopril and Warfarin together?,Lisinopril and Warfarin may have Minor interaction.,Lisinopril/Warfarin,Drug
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Interaction_Check,Can I take Warfarin and Metformin together?,Warfarin and Metformin do not have significant interactions.,Warfarin/Metformin,Drug
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Interaction_Check,Can I take Ibuprofen and Clopidogrel together?,Ibuprofen and Clopidogrel may have Minor interaction.,Ibuprofen/Clopidogrel,Drug
Interaction_Check,Can I take Lithium and Omeprazole together?,Lithium and Omeprazole may have Major interaction.,Lithium/Omeprazole,Drug
Drug_Dosage,Recommended dose of Prednisone?,Typical dose for Prednisone depends on individual condition. Consult doctor.,Prednisone,Drug
Drug_Dosage,Recommended dose of Lisinopril?,Typical dose for Lisinopril depends on individual condition. Consult doctor.,Lisinopril,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Interaction_Check,Can I take Lisinopril and Levothyroxine together?,Lisinopril and Levothyroxine may have Moderate interaction.,Lisinopril/Levothyroxine,Drug
Interaction_Check,Can I take Ibuprofen and Sildenafil together?,Ibuprofen and Sildenafil may have Major interaction.,Ibuprofen/Sildenafil,Drug
Drug_Dosage,Recommended dose of Prednisone?,Typical dose for Prednisone depends on individual condition. Consult doctor.,Prednisone,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Interaction_Check,Can I take Aspirin and Amiodarone together?,Aspirin and Amiodarone may have Major interaction.,Aspirin/Amiodarone,Drug
Drug_Dosage,Recommended dose of Metformin?,Typical dose for Metformin depends on individual condition. Consult doctor.,Metformin,Drug
Interaction_Check,Can I take Amiodarone and Metformin together?,Amiodarone and Metformin do not have significant interactions.,Amiodarone/Metformin,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Interaction_Check,Can I take Lisinopril and Ibuprofen together?,Lisinopril and Ibuprofen may have Major interaction.,Lisinopril/Ibuprofen,Drug
Side_Effect,What are side effects of Lithium?,Common side effects of Lithium include mild to moderate reactions.,Lithium,Drug
Side_Effect,What are side effects of Metformin?,Common side effects of Metformin include mild to moderate reactions.,Metformin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Side_Effect,What are side effects of Aspirin?,Common side effects of Aspirin include mild to moderate reactions.,Aspirin,Drug
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Drug_Info,What is Simvastatin used for?,Simvastatin is used for treatment of its respective condition.,Simvastatin,Drug
Interaction_Check,Can I take Warfarin and Omeprazole together?,Warfarin and Omeprazole may have Major interaction.,Warfarin/Omeprazole,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Drug_Info,What is Omeprazole used for?,Omeprazole is used for treatment of its respective condition.,Omeprazole,Drug
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Interaction_Check,Can I take Clopidogrel and Lithium together?,Clopidogrel and Lithium may have Moderate interaction.,Clopidogrel/Lithium,Drug
Drug_Dosage,Recommended dose of Aspirin?,Typical dose for Aspirin depends on individual condition. Consult doctor.,Aspirin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Interaction_Check,Can I take Levothyroxine and Ibuprofen together?,Levothyroxine and Ibuprofen may have Moderate interaction.,Levothyroxine/Ibuprofen,Drug
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Interaction_Check,Can I take Sildenafil and Levothyroxine together?,Sildenafil and Levothyroxine do not have significant interactions.,Sildenafil/Levothyroxine,Drug
Side_Effect,What are side effects of Prednisone?,Common side effects of Prednisone include mild to moderate reactions.,Prednisone,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Interaction_Check,Can I take Ibuprofen and Warfarin together?,Ibuprofen and Warfarin do not have significant interactions.,Ibuprofen/Warfarin,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Interaction_Check,Can I take Ibuprofen and Simvastatin together?,Ibuprofen and Simvastatin may have Minor interaction.,Ibuprofen/Simvastatin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Side_Effect,What are side effects of Sildenafil?,Common side effects of Sildenafil include mild to moderate reactions.,Sildenafil,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Interaction_Check,Can I take Clopidogrel and Ibuprofen together?,Clopidogrel and Ibuprofen may have Moderate interaction.,Clopidogrel/Ibuprofen,Drug
Side_Effect,What are side effects of Lithium?,Common side effects of Lithium include mild to moderate reactions.,Lithium,Drug
Drug_Dosage,Recommended dose of Levothyroxine?,Typical dose for Levothyroxine depends on individual condition. Consult doctor.,Levothyroxine,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Interaction_Check,Can I take Levothyroxine and Metformin together?,Levothyroxine and Metformin do not have significant interactions.,Levothyroxine/Metformin,Drug
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Interaction_Check,Can I take Amiodarone and Aspirin together?,Amiodarone and Aspirin may have Moderate interaction.,Amiodarone/Aspirin,Drug
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Interaction_Check,Can I take Clopidogrel and Lisinopril together?,Clopidogrel and Lisinopril may have Moderate interaction.,Clopidogrel/Lisinopril,Drug
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Interaction_Check,Can I take Simvastatin and Aspirin together?,Simvastatin and Aspirin do not have significant interactions.,Simvastatin/Aspirin,Drug
Interaction_Check,Can I take Amiodarone and Metformin together?,Amiodarone and Metformin may have Moderate interaction.,Amiodarone/Metformin,Drug
Drug_Dosage,Recommended dose of Prednisone?,Typical dose for Prednisone depends on individual condition. Consult doctor.,Prednisone,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Dosage,Recommended dose of Simvastatin?,Typical dose for Simvastatin depends on individual condition. Consult doctor.,Simvastatin,Drug
Drug_Info,What is Simvastatin used for?,Simvastatin is used for treatment of its respective condition.,Simvastatin,Drug
Drug_Dosage,Recommended dose of Lisinopril?,Typical dose for Lisinopril depends on individual condition. Consult doctor.,Lisinopril,Drug
Interaction_Check,Can I take Simvastatin and Sildenafil together?,Simvastatin and Sildenafil may have Major interaction.,Simvastatin/Sildenafil,Drug
Interaction_Check,Can I take Metformin and Clopidogrel together?,Metformin and Clopidogrel may have Moderate interaction.,Metformin/Clopidogrel,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Symptom_Advice,"I have dizziness, what should I do?","For dizziness, monitor and consult your doctor if persistent.",dizziness,Symptom
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Side_Effect,What are side effects of Digoxin?,Common side effects of Digoxin include mild to moderate reactions.,Digoxin,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Drug_Info,What is Warfarin used for?,Warfarin is used for treatment of its respective condition.,Warfarin,Drug
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Side_Effect,What are side effects of Levothyroxine?,Common side effects of Levothyroxine include mild to moderate reactions.,Levothyroxine,Drug
Drug_Info,What is Amiodarone used for?,Amiodarone is used for treatment of its respective condition.,Amiodarone,Drug
Side_Effect,What are side effects of Lisinopril?,Common side effects of Lisinopril include mild to moderate reactions.,Lisinopril,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Drug_Info,What is Levothyroxine used for?,Levothyroxine is used for treatment of its respective condition.,Levothyroxine,Drug
Side_Effect,What are side effects of Clopidogrel?,Common side effects of Clopidogrel include mild to moderate reactions.,Clopidogrel,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Drug_Info,What is Clopidogrel used for?,Clopidogrel is used for treatment of its respective condition.,Clopidogrel,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Symptom_Advice,"I have palpitations, what should I do?","For palpitations, monitor and consult your doctor if persistent.",palpitations,Symptom
Drug_Dosage,Recommended dose of Digoxin?,Typical dose for Digoxin depends on individual condition. Consult doctor.,Digoxin,Drug
Drug_Dosage,Recommended dose of Lithium?,Typical dose for Lithium depends on individual condition. Consult doctor.,Lithium,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Interaction_Check,Can I take Lisinopril and Amiodarone together?,Lisinopril and Amiodarone may have Moderate interaction.,Lisinopril/Amiodarone,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Symptom_Advice,"I have fatigue, what should I do?","For fatigue, monitor and consult your doctor if persistent.",fatigue,Symptom
Side_Effect,What are side effects of Simvastatin?,Common side effects of Simvastatin include mild to moderate reactions.,Simvastatin,Drug
Drug_Info,What is Ibuprofen used for?,Ibuprofen is used for treatment of its respective condition.,Ibuprofen,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Drug_Dosage,Recommended dose of Prednisone?,Typical dose for Prednisone depends on individual condition. Consult doctor.,Prednisone,Drug
Side_Effect,What are side effects of Omeprazole?,Common side effects of Omeprazole include mild to moderate reactions.,Omeprazole,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Drug_Dosage,Recommended dose of Sildenafil?,Typical dose for Sildenafil depends on individual condition. Consult doctor.,Sildenafil,Drug
Drug_Dosage,Recommended dose of Clopidogrel?,Typical dose for Clopidogrel depends on individual condition. Consult doctor.,Clopidogrel,Drug
Interaction_Check,Can I take Levothyroxine and Sildenafil together?,Levothyroxine and Sildenafil do not have significant interactions.,Levothyroxine/Sildenafil,Drug
Lifestyle_Advice,Can I take calcium with my medication?,Avoid taking calcium with certain medications. Consult your doctor.,calcium,Lifestyle
